degree,lambda,noise,mse,r2
3,0.001,0.5,0.27351796546934404,0.20160767382799005
3,0.01,0.5,0.27365448467561343,0.20120917756660728
3,0.1,0.5,0.27615921704325336,0.19389792436242792
3,1,0.5,0.2816569822775896,0.1778500806068729
3,0,1.0,1.064520976412388,0.06828057354175554
3,0.0001,1.0,1.0645209887629965,0.06828056273191518
3,0.001,1.0,1.0645221767398063,0.06827952295806705
3,0.01,1.0,1.0646143689848637,0.0681988319171275
3,0.1,1.0,1.067043329019634,0.06607289048372034
3,1,1.0,1.0752944679597352,0.05885110095468049
4,0,0,0.003948810015430591,0.9517095874891897
4,0.0001,0,0.003974627501719758,0.9513938627371696
4,0.001,0,0.004856866857742219,0.9406048649709778
4,0.01,0,0.007600310152135348,0.9070550087184444
4,0.1,0,0.009985549291174432,0.8778856687119545
4,1,0,0.016661783166245107,0.7962413032990863
4,0,0.1,0.013204466420996801,0.8520059422212525
4,0.0001,0.1,0.013236358526347518,0.851648499373395
4,0.001,0.1,0.014328208497300767,0.8394111773540793
4,0.01,0.1,0.017722098345024397,0.8013728716622996
4,0.1,0.1,0.020355256470830776,0.7718607548234468
4,1,0.1,0.027054646512131554,0.6967748039607851
4,0,0.5,0.2425865695908193,0.24111553570553323
4,0.0001,0.5,0.24265031684509267,0.24091611493384302
4,0.001,0.5,0.2448249252415531,0.23411327943152427
4,0.01,0.5,0.25207374156214174,0.21143678048313796
4,0.1,0.5,0.257610418929176,0.19411637216564404
4,1,0.5,0.26306160710911414,0.17706339998883147
4,0,1.0,0.9747389091402576,0.11131559078777464
4,0.0001,1.0,0.9748398112396675,0.11122359679660276
4,0.001,1.0,0.9784035175785993,0.10797451108480638
4,0.01,1.0,0.9910651029547546,0.09643074955627218
4,0.1,1.0,0.9971506913325886,0.09088242532139135
4,1,1.0,1.0013814715059226,0.0870251581664746
5,0,0,0.0022056645065126577,0.9730266970394282
5,0.0001,0,0.002647147043860435,0.9676277607113865
5,0.001,0,0.0038564953767351445,0.9528385129036738
5,0.01,0,0.00650350651454628,0.9204679356244145
5,0.1,0,0.009565799411686051,0.883018834083965
5,1,0,0.015318432081401599,0.8126692848379408
5,0,0.1,0.012185917495171204,0.8680537725082245
5,0.0001,0.1,0.012641153391727977,0.8631245860769767
5,0.001,0.1,0.013936007312511305,0.8491042146057276
5,0.01,0.1,0.016578808074493603,0.8204885940999977
5,0.1,0.1,0.01947956711126597,0.7890798625115509
5,1,0.1,0.024924148411605535,0.7301272261477529
5,0,0.5,0.25941732101584564,0.3024695064281927
5,0.0001,0.5,0.261315249495443,0.29736628901790774
5,0.001,0.5,0.2638572605893586,0.2905312394303913
5,0.01,0.5,0.267210378091165,0.2815152581656075
5,0.1,0.5,0.2715902304857144,0.2697385557057317
5,1,0.5,0.2809236165177981,0.24464261631293416
5,0,1.0,0.9863744952863769,0.163763970986481
5,0.0001,1.0,0.9892048556850463,0.16136442664326145
5,0.001,1.0,0.9944674293747517,0.1569028821226961
5,0.01,1.0,1.001117423596606,0.1512650997310987
5,0.1,1.0,1.0121598537501948,0.14190346478775484
5,1,1.0,1.037110639550583,0.12075049891303824
